t4,x4,y4,z4,q1,q2,q3,q4,img
1533558193538,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558194384481000.png
1533558193694,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558194536477500.png
1533558193856,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558194679763300.png
1533558193985,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558194813904800.png
1533558194105,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558194926157000.png
1533558194189,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558195045622100.png
1533558194387,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558195215501000.png
1533558194465,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558195355308100.png
1533558194642,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558195510423400.png
1533558194729,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558195599742800.png
1533558194828,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558195704384300.png
1533558194936,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558195794149300.png
1533558195020,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558195902633700.png
1533558195197,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558196051805300.png
1533558195293,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558196149248300.png
1533558195404,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558196267419200.png
1533558195461,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558196357326200.png
1533558195587,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558196457619400.png
1533558195692,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558196552630800.png
1533558195806,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558196670182900.png
1533558195884,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558196762091600.png
1533558196028,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558196899891400.png
1533558196154,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558197037898500.png
1533558196259,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558197115675100.png
1533558196389,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558197248464100.png
1533558196479,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558197344873300.png
1533558196599,0.000000,0.000000,-6.181594,0.707107,0.000000,0.000000,-0.707107,img_0_0_1533558197454007800.png
1533558196722,0.000002,0.000000,-6.181685,0.707096,0.003850,-0.003850,-0.707096,img_0_0_1533558197606095200.png
1533558196812,0.001189,0.000000,-6.184381,0.706857,0.018781,-0.018781,-0.706857,img_0_0_1533558197691283700.png
1533558196968,0.014273,0.000000,-6.197766,0.706494,0.029424,-0.029424,-0.706494,img_0_0_1533558197822197300.png
1533558197058,0.030798,0.000000,-6.210326,0.706378,0.032088,-0.032088,-0.706378,img_0_0_1533558197935952400.png
1533558197172,0.062553,0.000000,-6.231170,0.706298,0.033819,-0.033819,-0.706298,img_0_0_1533558198056286500.png
1533558197337,0.128624,0.000000,-6.252011,0.707033,0.010246,-0.010246,-0.707033,img_0_0_1533558198216575000.png
1533558197400,0.156764,0.000000,-6.246085,0.707107,0.000602,-0.000602,-0.707106,img_0_0_1533558198304811200.png
1533558197535,0.216591,0.000000,-6.234303,0.707032,-0.010284,0.010284,-0.707032,img_0_0_1533558198424964900.png
1533558197634,0.257466,0.000000,-6.228930,0.706981,-0.013357,0.013357,-0.706981,img_0_0_1533558198517805300.png
1533558197730,0.293618,0.000000,-6.225640,0.706964,-0.014234,0.014234,-0.706963,img_0_0_1533558198620057300.png
1533558197871,0.340070,0.000000,-6.222882,0.706975,-0.013632,0.013632,-0.706975,img_0_0_1533558198757464200.png
1533558197973,0.368915,0.000000,-6.221836,0.706995,-0.012560,0.012560,-0.706995,img_0_0_1533558198857623700.png
1533558198096,0.398869,0.000000,-6.221257,0.707021,-0.011040,0.011040,-0.707021,img_0_0_1533558198978632500.png
1533558198180,0.416600,0.000000,-6.221179,0.707036,-0.009990,0.009990,-0.707036,img_0_0_1533558199077411600.png
1533558198318,0.441543,0.000000,-6.221474,0.707057,-0.008369,0.008369,-0.707057,img_0_0_1533558199199754900.png
1533558198381,0.451398,0.000000,-6.221747,0.707065,-0.007690,0.007690,-0.707065,img_0_0_1533558199296597200.png
1533558198525,0.470835,0.000000,-6.222620,0.707079,-0.006304,0.006304,-0.707079,img_0_0_1533558199407815700.png
1533558198606,0.480114,0.000000,-6.223231,0.707084,-0.005624,0.005624,-0.707084,img_0_0_1533558199506809900.png
1533558198750,0.494138,0.000000,-6.224460,0.707092,-0.004578,0.004578,-0.707092,img_0_0_1533558199627801600.png
1533558198834,0.501058,0.000000,-6.225235,0.707095,-0.004056,0.004056,-0.707095,img_0_0_1533558199718485100.png
1533558198975,0.510926,0.000000,-6.226588,0.707099,-0.003307,0.003307,-0.707099,img_0_0_1533558199862428300.png
1533558199062,0.516074,0.000000,-6.227432,0.707101,-0.002914,0.002914,-0.707101,img_0_0_1533558199965040000.png
1533558199179,0.522041,0.000000,-6.228566,0.707103,-0.002457,0.002457,-0.707102,img_0_0_1533558200068751700.png
1533558199293,0.527232,0.000000,-6.230709,0.707019,0.011171,-0.011171,-0.707018,img_0_0_1533558200179351700.png
1533558199404,0.536008,0.000000,-6.238083,0.706698,0.024052,-0.024052,-0.706698,img_0_0_1533558200284776300.png
1533558199548,0.560203,0.000000,-6.255831,0.706426,0.031026,-0.031026,-0.706426,img_0_0_1533558200439554900.png
1533558199650,0.588347,0.000000,-6.273793,0.706329,0.033152,-0.033152,-0.706329,img_0_0_1533558200540124600.png
1533558199791,0.643604,0.000000,-6.304485,0.706578,0.027338,-0.027338,-0.706578,img_0_0_1533558200677486300.png
1533558199875,0.682650,0.000000,-6.304022,0.707074,0.006777,-0.006777,-0.707074,img_0_0_1533558200764434000.png
1533558199968,0.727299,0.000000,-6.294781,0.707089,-0.005076,0.005076,-0.707089,img_0_0_1533558200875084400.png
1533558200067,0.773587,0.000000,-6.286849,0.707009,-0.011737,0.011737,-0.707009,img_0_0_1533558200971729100.png
1533558200220,0.838558,0.000000,-6.279814,0.706945,-0.015115,0.015115,-0.706945,img_0_0_1533558201098443100.png
1533558200301,0.869015,0.000000,-6.277721,0.706944,-0.015163,0.015163,-0.706944,img_0_0_1533558201197454900.png
1533558200400,0.902461,0.000000,-6.276058,0.706959,-0.014446,0.014446,-0.706959,img_0_0_1533558201291562600.png
1533558200520,0.937719,0.000000,-6.274910,0.706987,-0.013028,0.013028,-0.706987,img_0_0_1533558201408423900.png
1533558200622,0.963536,0.000000,-6.274447,0.707011,-0.011666,0.011666,-0.707011,img_0_0_1533558201517260600.png
1533558200688,0.978407,0.000000,-6.274339,0.707025,-0.010784,0.010784,-0.707025,img_0_0_1533558201612215100.png
1533558200799,1.000508,0.000000,-6.274428,0.707045,-0.009367,0.009367,-0.707045,img_0_0_1533558201714526500.png
1533558200841,1.008003,0.000000,-6.274539,0.707051,-0.008863,0.008863,-0.707051,img_0_0_1533558201799557500.png
1533558200985,1.030531,0.000000,-6.275171,0.707069,-0.007286,0.007286,-0.707069,img_0_0_1533558201897987600.png
1533558201114,1.047095,0.000000,-6.276004,0.707081,-0.006080,0.006080,-0.707081,img_0_0_1533558202009834900.png
1533558201174,1.053804,0.000000,-6.276455,0.707085,-0.005583,0.005583,-0.707085,img_0_0_1533558202095001900.png
1533558201282,1.064498,0.000000,-6.277343,0.707091,-0.004783,0.004783,-0.707091,img_0_0_1533558202196290400.png
1533558201441,1.077471,0.000000,-6.278768,0.707097,-0.003801,0.003801,-0.707097,img_0_0_1533558202327970400.png
1533558201552,1.084898,0.000000,-6.279805,0.707099,-0.003235,0.003235,-0.707099,img_0_0_1533558202435076900.png
1533558201660,1.091071,0.000000,-6.281048,0.707085,0.005512,-0.005512,-0.707085,img_0_0_1533558202566415800.png
1533558201723,1.095021,0.000000,-6.283485,0.706934,0.015651,-0.015651,-0.706933,img_0_0_1533558202662173600.png
1533558201876,1.113203,0.000000,-6.296950,0.706549,0.028094,-0.028094,-0.706548,img_0_0_1533558202775835900.png
1533558201969,1.133029,0.000000,-6.310169,0.706407,0.031457,-0.031457,-0.706407,img_0_0_1533558202864914900.png
1533558202101,1.174756,0.000000,-6.335246,0.706302,0.033726,-0.033726,-0.706302,img_0_0_1533558202995375400.png
1533558202182,1.208687,0.000000,-6.353927,0.706359,0.032511,-0.032511,-0.706359,img_0_0_1533558203090667800.png
1533558202272,1.251042,0.000000,-6.356001,0.707067,0.007536,-0.007536,-0.707067,img_0_0_1533558203204393100.png
1533558202377,1.302288,0.000000,-6.345685,0.707082,-0.005940,0.005940,-0.707082,img_0_0_1533558203297281700.png
1533558202500,1.360081,0.000000,-6.336565,0.706984,-0.013190,0.013190,-0.706984,img_0_0_1533558203395565800.png
1533558202560,1.386384,0.000000,-6.333664,0.706954,-0.014687,0.014687,-0.706954,img_0_0_1533558203495295200.png
1533558202728,1.451929,0.000000,-6.328871,0.706941,-0.015298,0.015298,-0.706941,img_0_0_1533558203619929800.png
