timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
50128185,1567042628962256,-1567042578841641,-1567042578845425,15134
50217116,1567042629061174,-1567042578846442,-1567042578845479,4741
50316995,1567042629162025,-1567042578847432,-1567042578845582,4779
50415747,1567042629259610,-1567042578846093,-1567042578845617,4435
50520931,1567042629362592,-1567042578845194,-1567042578845607,7040
50618741,1567042629461180,-1567042578845103,-1567042578845593,5298
50719957,1567042629564370,-1567042578847713,-1567042578845707,6195
50817042,1567042629660733,-1567042578846130,-1567042578845742,4853
50919748,1567042629761198,-1567042578845428,-1567042578845741,7929
51018738,1567042629861159,-1567042578845615,-1567042578845749,6360
51119838,1567042629961513,-1567042578844891,-1567042578845721,6283
51217175,1567042630061282,-1567042578846157,-1567042578845754,4073
51319722,1567042630161924,-1567042578845898,-1567042578845774,7365
51415860,1567042630261225,-1567042578846560,-1567042578845826,2364
51519720,1567042630362005,-1567042578845603,-1567042578845830,6610
51616732,1567042630460784,-1567042578845911,-1567042578845848,3691
51719020,1567042630564407,-1567042578848485,-1567042578845992,6080
51818712,1567042630661143,-1567042578844885,-1567042578845958,4881
51919739,1567042630762144,-1567042578845709,-1567042578845964,6580
52016739,1567042630860869,-1567042578845991,-1567042578845982,3694
52119927,1567042630961888,-1567042578845681,-1567042578845985,7412
52215821,1567042631058873,-1567042578845343,-1567042578845970,4465
52319742,1567042631161979,-1567042578845592,-1567042578845967,6682
52418712,1567042631261032,-1567042578845121,-1567042578845940,5575
52515855,1567042631359390,-1567042578845874,-1567042578845949,4653
52617749,1567042631459447,-1567042578844956,-1567042578845913,6489
52718732,1567042631562593,-1567042578846288,-1567042578845941,4826
52818707,1567042631660349,-1567042578844943,-1567042578845903,6574
52916735,1567042631760576,-1567042578846555,-1567042578845943,5401
53018714,1567042631860347,-1567042578844951,-1567042578845905,6609
53118702,1567042631960869,-1567042578845835,-1567042578845909,7308
53216750,1567042632059867,-1567042578845855,-1567042578845914,5449
53320715,1567042632162610,-1567042578846145,-1567042578845932,8474
53417765,1567042632259915,-1567042578845052,-1567042578845898,5776
53521782,1567042632362395,-1567042578844923,-1567042578845856,8593
53618796,1567042632460681,-1567042578844770,-1567042578845808,5731
53720707,1567042632562812,-1567042578845879,-1567042578845813,7523
53817701,1567042632660660,-1567042578845294,-1567042578845789,4643
53920726,1567042632762227,-1567042578845159,-1567042578845759,7288
54017757,1567042632860683,-1567042578845336,-1567042578845738,4793
54119800,1567042632961976,-1567042578845570,-1567042578845727,6703
54214806,1567042633059178,-1567042578845677,-1567042578845722,2582
54317741,1567042633161955,-1567042578846540,-1567042578845759,4627
54417718,1567042633259479,-1567042578844195,-1567042578845684,4842
54522707,1567042633364733,-1567042578846837,-1567042578845734,9597
54616760,1567042633459102,-1567042578844573,-1567042578845677,4427
54719744,1567042633561450,-1567042578845607,-1567042578845670,7777
54817696,1567042633660728,-1567042578845562,-1567042578845661,5034
54920793,1567042633762472,-1567042578845412,-1567042578845644,7429
55015365,1567042633858898,-1567042578845111,-1567042578845614,3059
55120753,1567042633962173,-1567042578845068,-1567042578845582,7269
55215054,1567042634058520,-1567042578845461,-1567042578845569,3953
55318698,1567042634162206,-1567042578846391,-1567042578845600,5740
55418719,1567042634261032,-1567042578845252,-1567042578845578,5846
55518701,1567042634359295,-1567042578844368,-1567042578845515,7522
55616250,1567042634459447,-1567042578845671,-1567042578845513,4920
55722738,1567042634564650,-1567042578846469,-1567042578845549,9087
55814714,1567042634658132,-1567042578845250,-1567042578845529,3633
55920166,1567042634761955,-1567042578845335,-1567042578845512,7065
56015828,1567042634860269,-1567042578846261,-1567042578845540,3521
56117557,1567042634962175,-1567042578846587,-1567042578845582,3912
56216968,1567042635058572,-1567042578844512,-1567042578845528,5789
56317173,1567042635161122,-1567042578846453,-1567042578845565,4980
56416980,1567042635260446,-1567042578845843,-1567042578845574,4727
56517703,1567042635359330,-1567042578844876,-1567042578845538,6470
56617004,1567042635460462,-1567042578845861,-1567042578845548,4778
56721713,1567042635563373,-1567042578845967,-1567042578845563,8588
56817740,1567042635661611,-1567042578845849,-1567042578845572,3931
56918823,1567042635760749,-1567042578845556,-1567042578845569,7233
57013593,1567042635857979,-1567042578845672,-1567042578845571,2544
57117305,1567042635962147,-1567042578846869,-1567042578845628,3817
57216958,1567042636058492,-1567042578844475,-1567042578845575,5855
57317456,1567042636162183,-1567042578846735,-1567042578845626,3988
57418730,1567042636260530,-1567042578845038,-1567042578845599,6450
57519822,1567042636361793,-1567042578845761,-1567042578845605,7460
57617878,1567042636459483,-1567042578844793,-1567042578845567,6349
57722130,1567042636564097,-1567042578846691,-1567042578845616,9422
57818124,1567042636660440,-1567042578845296,-1567042578845601,5933
57916705,1567042636759323,-1567042578845382,-1567042578845590,5503
58018736,1567042636860704,-1567042578844873,-1567042578845556,5782
58114817,1567042636958787,-1567042578846082,-1567042578845577,4189
58217909,1567042637059871,-1567042578845281,-1567042578845562,6610
58318728,1567042637160705,-1567042578845488,-1567042578845556,6989
58416761,1567042637260927,-1567042578845998,-1567042578845574,3632
58519214,1567042637361065,-1567042578845546,-1567042578845571,7365
58615337,1567042637460360,-1567042578846643,-1567042578845617,3208
58719934,1567042637564032,-1567042578847665,-1567042578845710,7109
58819102,1567042637660717,-1567042578844687,-1567042578845669,6116
58917767,1567042637761587,-1567042578846684,-1567042578845717,5701
59017698,1567042637860309,-1567042578845402,-1567042578845707,5554
59119332,1567042637962598,-1567042578846354,-1567042578845739,6148
59218822,1567042638060868,-1567042578845384,-1567042578845729,6648
59320705,1567042638162380,-1567042578845608,-1567042578845727,7839
59418722,1567042638260727,-1567042578844890,-1567042578845694,5745
59519744,1567042638361537,-1567042578845537,-1567042578845689,7460
59623163,1567042638464063,-1567042578844579,-1567042578845642,7330
59717907,1567042638563134,-1567042578847829,-1567042578845739,5168
59818713,1567042638658950,-1567042578843617,-1567042578845649,6725
59918780,1567042638763131,-1567042578847402,-1567042578845727,6076
60016738,1567042638860599,-1567042578845736,-1567042578845731,3718
60120120,1567042638964089,-1567042578847443,-1567042578845810,6922
60217780,1567042639059033,-1567042578844040,-1567042578845738,5538
60322718,1567042639163816,-1567042578846130,-1567042578845738,10058
60418710,1567042639259642,-1567042578844228,-1567042578845675,6559
60516196,1567042639360374,-1567042578846136,-1567042578845696,3878
60620712,1567042639461976,-1567042578845455,-1567042578845687,8347
60720623,1567042639564798,-1567042578848027,-1567042578845790,7592
60820911,1567042639662372,-1567042578845178,-1567042578845769,7400
60920736,1567042639765151,-1567042578847527,-1567042578845850,6196
61018726,1567042639860927,-1567042578845105,-1567042578845825,5775
61121740,1567042639963977,-1567042578846146,-1567042578845845,7785
61218738,1567042640061463,-1567042578845611,-1567042578845841,5746
61316604,1567042640161747,-1567042578846631,-1567042578845881,2894
61420715,1567042640262468,-1567042578845363,-1567042578845866,7182
61520936,1567042640363998,-1567042578846409,-1567042578845896,6668
61620778,1567042640462526,-1567042578845157,-1567042578845872,6782
61721185,1567042640566363,-1567042578848624,-1567042578845997,6866
61819824,1567042640661298,-1567042578844635,-1567042578845949,6189
61921642,1567042640764756,-1567042578846585,-1567042578845985,6916
62018707,1567042640860748,-1567042578845674,-1567042578845981,7240
62121648,1567042640964705,-1567042578846566,-1567042578846015,6990
62221812,1567042641063226,-1567042578844994,-1567042578845981,7097
62319824,1567042641161555,-1567042578845546,-1567042578845971,7514
62421789,1567042641263339,-1567042578845256,-1567042578845948,7364
62517741,1567042641361706,-1567042578846728,-1567042578845988,5499
62619745,1567042641461330,-1567042578844662,-1567042578845939,6129
62721957,1567042641564180,-1567042578845960,-1567042578845945,7449
62815719,1567042641658438,-1567042578844992,-1567042578845910,4510
62919767,1567042641761688,-1567042578845674,-1567042578845903,7480
63017830,1567042641861505,-1567042578845774,-1567042578845901,4164
63119746,1567042641962093,-1567042578845653,-1567042578845894,6561
63215150,1567042642058452,-1567042578845592,-1567042578845884,4548
63316712,1567042642159342,-1567042578845662,-1567042578845876,6037
63418528,1567042642260008,-1567042578845000,-1567042578845841,7015
63522480,1567042642363231,-1567042578845867,-1567042578845841,10226
63615861,1567042642458010,-1567042578844784,-1567042578845797,5232
63722768,1567042642564607,-1567042578846804,-1567042578845838,9898
63816749,1567042642660246,-1567042578845820,-1567042578845837,4619
63920820,1567042642762198,-1567042578845645,-1567042578845830,8507
64015029,1567042642858373,-1567042578845347,-1567042578845809,3883
64119739,1567042642961513,-1567042578845734,-1567042578845805,7890
64216738,1567042643060845,-1567042578846379,-1567042578845828,4518
64318984,1567042643163944,-1567042578848341,-1567042578845931,6737
64415129,1567042643260256,-1567042578846731,-1567042578845969,3174
64523413,1567042643363489,-1567042578844001,-1567042578845893,7825
64617704,1567042643460361,-1567042578845383,-1567042578845874,5424
64720817,1567042643564807,-1567042578848032,-1567042578845964,8048
64815216,1567042643660162,-1567042578846519,-1567042578845991,3119
64920709,1567042643762416,-1567042578845946,-1567042578845995,8452
65015137,1567042643860221,-1567042578846621,-1567042578846026,3046
65119744,1567042643961525,-1567042578845928,-1567042578846029,8266
65216885,1567042644060753,-1567042578846251,-1567042578846044,4738
65319084,1567042644162218,-1567042578846163,-1567042578846056,6031
65417796,1567042644259636,-1567042578844633,-1567042578846005,5551
65519764,1567042644361782,-1567042578845712,-1567042578845997,7361
65616722,1567042644458821,-1567042578844340,-1567042578845934,4444
65719879,1567042644564500,-1567042578848194,-1567042578846027,7118
65815921,1567042644660472,-1567042578846345,-1567042578846045,3561
65919846,1567042644761574,-1567042578845514,-1567042578846029,7545
66015832,1567042644858748,-1567042578844737,-1567042578845982,3617
66119938,1567042644961981,-1567042578845698,-1567042578845973,7283
66217867,1567042645061390,-1567042578846357,-1567042578845991,5436
66317749,1567042645161907,-1567042578846663,-1567042578846020,4984
66417701,1567042645260508,-1567042578845293,-1567042578845995,4945
66516916,1567042645362044,-1567042578846997,-1567042578846038,3713
66618705,1567042645461716,-1567042578845843,-1567042578846034,5637
66721755,1567042645565243,-1567042578847619,-1567042578846101,8225
66814927,1567042645658473,-1567042578845504,-1567042578846083,3701
66920753,1567042645763070,-1567042578846048,-1567042578846087,7432
67024378,1567042645865135,-1567042578846020,-1567042578846087,10519
67120719,1567042645962488,-1567042578845561,-1567042578846072,7548
67217446,1567042646062628,-1567042578847092,-1567042578846117,3784
67316932,1567042646161992,-1567042578846940,-1567042578846155,3734
67418730,1567042646261312,-1567042578845392,-1567042578846132,5592
67517750,1567042646359809,-1567042578845325,-1567042578846107,6506
67619804,1567042646461375,-1567042578844611,-1567042578846054,5994
67718390,1567042646562244,-1567042578847277,-1567042578846104,6814
67817798,1567042646661816,-1567042578845745,-1567042578846095,3409
67917551,1567042646762503,-1567042578846856,-1567042578846128,3781
68017711,1567042646859674,-1567042578844813,-1567042578846083,5672
68117810,1567042646959944,-1567042578845326,-1567042578846057,6358
68218703,1567042647060422,-1567042578845026,-1567042578846020,6587
68321479,1567042647162969,-1567042578845419,-1567042578845998,7831
68417762,1567042647261456,-1567042578845700,-1567042578845986,3975
68521340,1567042647362489,-1567042578844836,-1567042578845942,7346
68617767,1567042647461571,-1567042578845766,-1567042578845933,3892
68722342,1567042647565605,-1567042578848400,-1567042578845933,10268
68815725,1567042647657730,-1567042578844661,-1567042578845883,5284
68918831,1567042647760774,-1567042578845741,-1567042578845873,7570
69019736,1567042647860949,-1567042578844510,-1567042578845817,6566
69118346,1567042647961497,-1567042578846546,-1567042578845838,6762
69218710,1567042648060871,-1567042578845397,-1567042578845816,6447
69318273,1567042648159770,-1567042578844960,-1567042578845779,6900
69416740,1567042648260463,-1567042578845994,-1567042578845780,4516
69518400,1567042648359783,-1567042578844832,-1567042578845738,6870
69615738,1567042648457780,-1567042578844693,-1567042578845691,5275
69720716,1567042648562221,-1567042578846084,-1567042578845696,9130
69817995,1567042648659955,-1567042578845204,-1567042578845669,6462
69915970,1567042648761016,-1567042578847415,-1567042578845724,4700
70017776,1567042648860296,-1567042578845303,-1567042578845701,5541
70117781,1567042648961673,-1567042578846479,-1567042578845722,5147
70215393,1567042649060550,-1567042578847138,-1567042578845767,3934
70320735,1567042649162268,-1567042578845927,-1567042578845768,8762
70418748,1567042649260608,-1567042578844756,-1567042578845727,5767
70521711,1567042649364422,-1567042578845882,-1567042578845727,6311
70618768,1567042649460603,-1567042578844741,-1567042578845686,5786
70720799,1567042649564617,-1567042578847673,-1567042578845751,7671
70819841,1567042649661677,-1567042578844796,-1567042578845712,5893
70922792,1567042649764353,-1567042578845328,-1567042578845693,7496
71019906,1567042649861186,-1567042578845231,-1567042578845670,7604
71118763,1567042649962318,-1567042578846606,-1567042578845697,6076
71216215,1567042650060859,-1567042578846628,-1567042578845725,3942
71320705,1567042650162233,-1567042578845418,-1567042578845709,7753
71416045,1567042650260208,-1567042578846078,-1567042578845718,3803
71515857,1567042650360410,-1567042578845984,-1567042578845723,2837
71615996,1567042650460392,-1567042578846223,-1567042578845737,3629
71720116,1567042650564677,-1567042578847820,-1567042578845806,6490
71816004,1567042650660549,-1567042578846085,-1567042578845815,3054
71921734,1567042650763027,-1567042578845364,-1567042578845799,8112
72018743,1567042650860171,-1567042578844758,-1567042578845762,6629
72115931,1567042650960524,-1567042578846206,-1567042578845775,3199
72218741,1567042651061998,-1567042578846508,-1567042578845799,6475
72320745,1567042651162688,-1567042578845524,-1567042578845788,7134
72416931,1567042651261029,-1567042578846007,-1567042578845795,3793
72520746,1567042651363693,-1567042578846465,-1567042578845817,7011
72618713,1567042651460766,-1567042578844895,-1567042578845785,5658
72722767,1567042651565427,-1567042578847059,-1567042578845827,8770
72818715,1567042651660604,-1567042578844770,-1567042578845791,5736
72920818,1567042651761478,-1567042578845297,-1567042578845774,9245
73016767,1567042651860874,-1567042578845995,-1567042578845780,3750
73121028,1567042651962389,-1567042578845419,-1567042578845766,8091
73215828,1567042652059383,-1567042578845845,-1567042578845767,4454
73317741,1567042652161373,-1567042578846406,-1567042578845787,5521
73417763,1567042652259710,-1567042578845229,-1567042578845767,6537
73519761,1567042652361400,-1567042578845359,-1567042578845752,7412
73619749,1567042652461383,-1567042578844641,-1567042578845713,5989
73721751,1567042652564619,-1567042578846934,-1567042578845751,8106
73819726,1567042652661260,-1567042578844563,-1567042578845710,6031
73919720,1567042652762619,-1567042578845688,-1567042578845706,5550
74019732,1567042652861129,-1567042578845549,-1567042578845698,8277
74119753,1567042652961427,-1567042578845439,-1567042578845686,7505
74217764,1567042653061314,-1567042578845668,-1567042578845682,4211
74319816,1567042653161245,-1567042578844304,-1567042578845634,5635
74419732,1567042653261345,-1567042578844604,-1567042578845596,5957
74519760,1567042653361470,-1567042578845466,-1567042578845586,7484
74616766,1567042653459968,-1567042578846310,-1567042578845603,6189
74722558,1567042653563842,-1567042578846505,-1567042578845603,10436
74815024,1567042653658516,-1567042578845488,-1567042578845594,3872
74919819,1567042653761402,-1567042578845726,-1567042578845593,8165
75015761,1567042653859821,-1567042578846268,-1567042578845609,4390
75119762,1567042653961387,-1567042578845525,-1567042578845602,7773
75218427,1567042654059077,-1567042578844325,-1567042578845557,7324
75318296,1567042654161995,-1567042578846723,-1567042578845588,6022
75416763,1567042654260611,-1567042578846142,-1567042578845600,4560
75520712,1567042654362098,-1567042578845468,-1567042578845592,8137
75615131,1567042654458436,-1567042578845311,-1567042578845579,3980
75723180,1567042654564477,-1567042578846483,-1567042578845579,10365
75819195,1567042654662248,-1567042578844992,-1567042578845556,3852
75920714,1567042654762758,-1567042578844628,-1567042578845522,5141
76019135,1567042654860282,-1567042578844593,-1567042578845488,6865
76119742,1567042654961751,-1567042578845473,-1567042578845480,6902
76219069,1567042655060786,-1567042578844747,-1567042578845451,6033
76319742,1567042655161398,-1567042578845805,-1567042578845455,8273
76415120,1567042655259902,-1567042578846632,-1567042578845483,3674
76515967,1567042655361032,-1567042578847274,-1567042578845531,4391
76617740,1567042655461041,-1567042578846227,-1567042578845547,5826
76719738,1567042655564384,-1567042578848152,-1567042578845621,6987
76818709,1567042655660653,-1567042578844801,-1567042578845595,5686
76917796,1567042655759658,-1567042578844679,-1567042578845566,5586
77015947,1567042655860643,-1567042578846526,-1567042578845591,3635
77116098,1567042655959703,-1567042578845569,-1567042578845588,3896
77217715,1567042656059927,-1567042578844962,-1567042578845567,5465
77317742,1567042656159679,-1567042578844715,-1567042578845539,5524
77418728,1567042656261049,-1567042578845284,-1567042578845528,5900
77516307,1567042656361322,-1567042578847051,-1567042578845568,4044
77619943,1567042656460524,-1567042578844302,-1567042578845529,7417
77720721,1567042656562927,-1567042578846246,-1567042578845546,8044
77817711,1567042656659830,-1567042578844677,-1567042578845518,5085
77920395,1567042656762161,-1567042578845800,-1567042578845522,8042
78020758,1567042656861923,-1567042578844770,-1567042578845498,7185
78120701,1567042656961981,-1567042578845130,-1567042578845483,7672
78216714,1567042657058847,-1567042578844921,-1567042578845463,5548
78316860,1567042657161791,-1567042578846716,-1567042578845493,3543
78420711,1567042657261559,-1567042578844657,-1567042578845466,7593
78520636,1567042657362120,-1567042578845268,-1567042578845456,7540
78620698,1567042657461632,-1567042578844713,-1567042578845431,7532
78722698,1567042657565160,-1567042578846864,-1567042578845465,8777
78816740,1567042657658489,-1567042578844530,-1567042578845436,5535
78918733,1567042657762350,-1567042578846226,-1567042578845452,5191
79018701,1567042657860060,-1567042578844708,-1567042578845428,6673
79121194,1567042657962158,-1567042578844744,-1567042578845405,7535
79213864,1567042658058943,-1567042578846436,-1567042578845428,2687
79317724,1567042658159765,-1567042578845172,-1567042578845417,6231
79417455,1567042658261776,-1567042578846117,-1567042578845430,3567
79517738,1567042658361349,-1567042578846613,-1567042578845457,5977
79619749,1567042658461497,-1567042578844703,-1567042578845434,5882
79717895,1567042658562766,-1567042578846875,-1567042578845468,3980
79817770,1567042658659857,-1567042578844884,-1567042578845450,5565
79917723,1567042658759710,-1567042578845219,-1567042578845440,6429
80017825,1567042658859974,-1567042578845032,-1567042578845427,5739
80121122,1567042658962401,-1567042578844910,-1567042578845410,7220
80223717,1567042659063819,-1567042578845045,-1567042578845396,9849
80318550,1567042659159559,-1567042578844657,-1567042578845373,7268
80418706,1567042659260852,-1567042578844149,-1567042578845338,3981
80518547,1567042659359141,-1567042578844524,-1567042578845312,7835
80614595,1567042659459230,-1567042578846551,-1567042578845337,3805
80720764,1567042659562170,-1567042578845824,-1567042578845344,8809
80816702,1567042659659568,-1567042578845575,-1567042578845345,5393
80922269,1567042659764867,-1567042578848146,-1567042578845345,11089
81018742,1567042659860388,-1567042578844555,-1567042578845320,5793
81118731,1567042659961985,-1567042578846995,-1567042578845356,7455
81216739,1567042660060706,-1567042578846194,-1567042578845371,4428
81316705,1567042660159430,-1567042578845534,-1567042578845371,5593
81415181,1567042660258188,-1567042578845108,-1567042578845361,3982
81519736,1567042660361332,-1567042578845483,-1567042578845360,7749
81617700,1567042660460121,-1567042578845180,-1567042578845352,5493
81727855,1567042660569849,-1567042578849483,-1567042578845352,14973
81817703,1567042660659995,-1567042578845111,-1567042578845343,5610
81920711,1567042660762369,-1567042578845686,-1567042578845347,8028
82018757,1567042660862101,-1567042578845030,-1567042578845336,3346
82120712,1567042660962012,-1567042578845477,-1567042578845335,8326
82219057,1567042661063701,-1567042578846145,-1567042578845350,2884
82320741,1567042661164592,-1567042578848228,-1567042578845411,8728
82419754,1567042661261104,-1567042578844683,-1567042578845393,6629
82519922,1567042661361323,-1567042578845298,-1567042578845389,7767
82616797,1567042661459983,-1567042578845529,-1567042578845389,4635
82721704,1567042661563795,-1567042578846521,-1567042578845412,8833
82816865,1567042661660087,-1567042578845607,-1567042578845414,4635
82920103,1567042661761847,-1567042578845341,-1567042578845411,7169
83016040,1567042661859262,-1567042578845160,-1567042578845404,3850
83120090,1567042661963048,-1567042578846577,-1567042578845427,7210
83216823,1567042662058900,-1567042578844407,-1567042578845403,4629
83315941,1567042662160641,-1567042578846267,-1567042578845420,3106
83415993,1567042662260321,-1567042578845861,-1567042578845427,3041
83523884,1567042662365535,-1567042578847134,-1567042578845427,10961
83615920,1567042662460019,-1567042578845970,-1567042578845437,3717
83720718,1567042662562232,-1567042578845285,-1567042578845433,7514
83820712,1567042662661052,-1567042578844147,-1567042578845406,7582
83916522,1567042662761284,-1567042578847293,-1567042578845442,5035
84020776,1567042662861318,-1567042578844434,-1567042578845421,7753
84118744,1567042662961202,-1567042578845272,-1567042578845417,5602
84220799,1567042663061218,-1567042578844329,-1567042578845394,7774
84317701,1567042663159698,-1567042578845170,-1567042578845388,6321
84418699,1567042663261204,-1567042578845361,-1567042578845385,5685
84520805,1567042663362487,-1567042578846370,-1567042578845402,9349
84618732,1567042663460981,-1567042578844943,-1567042578845392,5363
84722757,1567042663564790,-1567042578846423,-1567042578845410,8752
84817772,1567042663659518,-1567042578845006,-1567042578845401,6492
84919726,1567042663761345,-1567042578845401,-1567042578845400,7536
85017672,1567042663858232,-1567042578843843,-1567042578845369,6536
85115816,1567042663959507,-1567042578845942,-1567042578845378,4377
85217503,1567042664058755,-1567042578844424,-1567042578845358,6316
85321752,1567042664163773,-1567042578845619,-1567042578845361,7171
85417753,1567042664261061,-1567042578845380,-1567042578845359,4108
85519754,1567042664361283,-1567042578845275,-1567042578845356,7465
85617789,1567042664459112,-1567042578844663,-1567042578845342,6644
85721736,1567042664565637,-1567042578847300,-1567042578845374,6771
85817534,1567042664658298,-1567042578843947,-1567042578845347,6339
85918742,1567042664762624,-1567042578846205,-1567042578845360,4618
86018711,1567042664860408,-1567042578844585,-1567042578845345,5750
86116781,1567042664959678,-1567042578845604,-1567042578845347,5380
86214351,1567042665059028,-1567042578846192,-1567042578845359,3003
86318143,1567042665162890,-1567042578846675,-1567042578845379,3830
86416709,1567042665257895,-1567042578844147,-1567042578845357,5895
86520705,1567042665363281,-1567042578846361,-1567042578845372,7545
86618796,1567042665460173,-1567042578844471,-1567042578845356,6150
86722712,1567042665564161,-1567042578846495,-1567042578845356,10087
86815896,1567042665657854,-1567042578844533,-1567042578845341,5115
86918821,1567042665761898,-1567042578846369,-1567042578845355,6554
87016714,1567042665858360,-1567042578844462,-1567042578845340,5604
87116205,1567042665960931,-1567042578847107,-1567042578845365,4735
87219103,1567042666060434,-1567042578844827,-1567042578845355,6964
87320707,1567042666162755,-1567042578844706,-1567042578845344,5291
87417706,1567042666260121,-1567042578845302,-1567042578845341,5748
87517792,1567042666361245,-1567042578846653,-1567042578845359,6363
87617706,1567042666459975,-1567042578845068,-1567042578845353,5570
87719172,1567042666563760,-1567042578846221,-1567042578845364,3238
87820714,1567042666661970,-1567042578844049,-1567042578845344,5559
87920744,1567042666762179,-1567042578845294,-1567042578845342,7691
88019084,1567042666860309,-1567042578844305,-1567042578845326,6135
88120757,1567042666962163,-1567042578845269,-1567042578845324,7701
88217740,1567042667061259,-1567042578846122,-1567042578845333,5179
88317751,1567042667159926,-1567042578844992,-1567042578845326,5607
88415880,1567042667260140,-1567042578846036,-1567042578845334,3526
88518801,1567042667361928,-1567042578846364,-1567042578845346,6437
88617714,1567042667459734,-1567042578844749,-1567042578845337,5431
88719952,1567042667564295,-1567042578847837,-1567042578845367,6961
88817704,1567042667660125,-1567042578845138,-1567042578845363,5407
88919892,1567042667761588,-1567042578845332,-1567042578845361,7244
89020191,1567042667864468,-1567042578848232,-1567042578845395,7884
89119876,1567042667961761,-1567042578845361,-1567042578845394,6926
89217764,1567042668061451,-1567042578845839,-1567042578845398,4276
89317750,1567042668161639,-1567042578846420,-1567042578845409,5035
89418754,1567042668259902,-1567042578844439,-1567042578845398,6556
89520342,1567042668361917,-1567042578845190,-1567042578845395,7205
89617716,1567042668459735,-1567042578845229,-1567042578845392,6393
89721757,1567042668565008,-1567042578847314,-1567042578845413,8088
89820732,1567042668663790,-1567042578846773,-1567042578845427,7405
89920507,1567042668761945,-1567042578844994,-1567042578845422,6879
90014819,1567042668858247,-1567042578845217,-1567042578845419,3541
90120706,1567042668962239,-1567042578845327,-1567042578845418,7560
90216826,1567042669060724,-1567042578846570,-1567042578845429,5316
90319725,1567042669162184,-1567042578845456,-1567042578845429,5968
90419730,1567042669261295,-1567042578844480,-1567042578845419,5803
90519720,1567042669361205,-1567042578845582,-1567042578845420,8166
90618757,1567042669462451,-1567042578846112,-1567042578845427,4809
90718407,1567042669562772,-1567042578847692,-1567042578845448,6626
90815755,1567042669659438,-1567042578845534,-1567042578845448,3676
90921843,1567042669762160,-1567042578844078,-1567042578845436,7487
91017367,1567042669860305,-1567042578845549,-1567042578845437,5188
91117726,1567042669962331,-1567042578846536,-1567042578845446,3724
91217734,1567042670059606,-1567042578844651,-1567042578845439,5530
91315829,1567042670159401,-1567042578845902,-1567042578845443,4526
91417752,1567042670261300,-1567042578845438,-1567042578845442,3746
91521352,1567042670362057,-1567042578844560,-1567042578845435,7676
91615828,1567042670459514,-1567042578845576,-1567042578845436,3656
91718414,1567042670562792,-1567042578846606,-1567042578845445,4428
91814595,1567042670657511,-1567042578845001,-1567042578845441,4143
91918444,1567042670759431,-1567042578844597,-1567042578845435,7192
92018124,1567042670859652,-1567042578844889,-1567042578845430,6696
92119752,1567042670961305,-1567042578845310,-1567042578845429,7489
92218702,1567042671060600,-1567042578845128,-1567042578845427,6435
92320707,1567042671161798,-1567042578845312,-1567042578845426,8417
92416732,1567042671260121,-1567042578845631,-1567042578845427,4459
92520711,1567042671361847,-1567042578845349,-1567042578845426,8401
92617996,1567042671461188,-1567042578845730,-1567042578845428,5043
92721760,1567042671565169,-1567042578846302,-1567042578845433,5721
92815492,1567042671659599,-1567042578846172,-1567042578845437,4102
92919836,1567042671761422,-1567042578845177,-1567042578845435,7149
93018762,1567042671860274,-1567042578844772,-1567042578845431,6494
93119849,1567042671962036,-1567042578845801,-1567042578845433,7191
93218775,1567042672060462,-1567042578845005,-1567042578845430,6609
93322808,1567042672164475,-1567042578845283,-1567042578845429,7204
93417730,1567042672259907,-1567042578844942,-1567042578845426,5503
93520714,1567042672361790,-1567042578845437,-1567042578845426,8695
