timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
58338347,0.0002535656,0.0031075613,0.00765276,0.99646926,0.0030653505,0.003786305,0.083817385,1.0,0.0,0.0,0.0,0
58342430,-0.0010173612,0.0016176561,0.0066938372,0.99646914,0.003070524,0.0038130675,0.08381719,1.0,0.0,0.0,0.0,0
58374409,0.00029003853,0.0020262233,0.003884815,0.9964702,0.0031310376,0.0040065614,0.08379381,1.0,0.0,0.0,0.0,0
58406362,-0.001707502,0.0015993104,0.0015832935,0.99646896,0.003159,0.004132317,0.08380214,1.0,0.0,0.0,0.0,0
58438388,-1.7275568e-05,0.00084443204,0.0012088723,0.99646777,0.0031958008,0.0042237784,0.0838101,1.0,0.0,0.0,0.0,0
58470359,-0.0005492051,0.0021098596,-2.5684945e-05,0.9964665,0.0032176443,0.004290346,0.08381938,1.0,0.0,0.0,0.0,0
58502376,-0.0008660229,0.0025060484,0.0009321682,0.9964658,0.0032418657,0.004329224,0.083825864,1.0,0.0,0.0,0.0,0
58534382,0.0007085088,0.002823778,0.0024319366,0.99646485,0.0032648654,0.0043605855,0.08383464,1.0,0.0,0.0,0.0,0
58566436,0.00029402226,0.0030352084,0.005567587,0.996464,0.0032873766,0.004382734,0.083841614,1.0,0.0,0.0,0.0,0
58598406,0.0003604018,0.0019322999,0.0068640565,0.996472,0.0032881848,0.004355733,0.08374887,1.0,0.0,0.0,0.0,0
58626408,-0.0002605063,0.0013483579,-0.003144067,0.99648786,0.0032793968,0.0043031764,0.083562225,1.0,0.0,0.0,0.0,0
58658350,0.0006949268,0.0012513695,0.00041071163,0.9965051,0.003264065,0.00423066,0.08336078,1.0,0.0,0.0,0.0,0
58690394,0.0024867514,0.002187438,0.00038698944,0.9965227,0.0032551284,0.004160933,0.08315413,1.0,0.0,0.0,0.0,0
58722374,0.00058209384,0.002642211,0.004161164,0.9965409,0.0032365944,0.0040949234,0.08294041,1.0,0.0,0.0,0.0,0
