timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,fix_quality,sacc,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
5381320,0,307872066,1038586443,566003,525724,357604200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.61,0,0,0.0,0.0,0.0,0.0,-1.5707965,-5381320,6,1,18
5549074,0,307872066,1038586443,566008,525729,357604400,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.06,0.0,0.0,-0.06,-1.5707965,-5549074,6,1,18
5773055,0,307872065,1038586443,566004,525725,357604600,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.06,0.0,0.0,-0.06,-1.5707965,-5773055,6,1,18
5939917,0,307872066,1038586443,566005,525726,357604800,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.02,0.02,0.0,0.0,-1.5707965,-5939917,6,1,18
6185943,0,307872066,1038586443,566004,525725,357605000,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.12,0.01,0.0,-0.12,-1.5707965,-6185943,6,1,18
6351962,0,307872065,1038586443,566002,525723,357605200,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.03,0.0,0.0,0.03,-1.5707965,-6351962,6,1,18
6578262,0,307872066,1038586442,566006,525727,357605400,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.089999996,0.0,0.0,-0.089999996,-1.5707965,-6578262,6,1,18
6744926,0,307872066,1038586442,566008,525729,357605600,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.089999996,0.0,0.0,-0.089999996,-1.5707965,-6744926,6,1,18
6991159,0,307872066,1038586442,566008,525729,357605800,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.07,-0.01,0.0,-0.06,-1.5707965,-6991159,6,1,18
7140862,0,307872066,1038586442,566008,525729,357606000,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.06,0.02,0.01,-0.049999997,-1.5707965,-7140862,6,1,18
7388915,0,307872066,1038586442,566008,525729,357606200,0,0,0.0,0.0,0.008,0.007,0.79999995,1.61,0,0,0.06,0.02,0.0,-0.06,-1.5707965,-7388915,6,1,18
7535112,0,307872066,1038586442,566005,525726,357606400,0,0,0.0,0.0,0.008,0.008,0.79999995,1.61,0,0,0.03,0.02,0.0,0.0,-1.5707965,-7535112,6,1,18
7779990,0,307872066,1038586442,566007,525728,357606600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.61,0,0,0.01,0.0,0.0,0.0,-1.5707965,-7779990,6,1,18
7948083,0,307872065,1038586442,566009,525730,357606800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.61,0,0,0.03,-0.01,-0.01,-0.03,-1.5707965,-7948083,6,1,18
8173946,0,307872066,1038586442,566009,525730,357607000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.62,0,0,0.01,0.0,0.0,0.0,-1.5707965,-8173946,6,1,18
8342582,0,307872065,1038586442,566011,525733,357607200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.62,0,0,0.03,0.01,0.02,-0.02,-1.5707965,-8342582,6,1,18
8587457,0,307872065,1038586442,566011,525732,357607400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.62,0,0,0.0,0.0,0.0,0.0,-1.5707965,-8587457,6,1,18
8753914,0,307872065,1038586442,566012,525733,357607600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.62,0,0,0.03,0.0,0.0,-0.03,-1.5707965,-8753914,6,1,18
8979963,0,307872065,1038586442,566012,525733,357607800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.62,0,0,0.01,0.0,0.0,0.01,-1.5707965,-8979963,6,1,18
9148869,0,307872065,1038586442,566011,525732,357608000,0,0,0.0,0.0,0.009000001,0.009000001,0.79999995,1.62,0,0,0.01,0.0,0.0,-0.01,-1.5707965,-9148869,6,1,18
9357097,0,307872065,1038586442,566005,525726,357608200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.01,0.01,0.0,0.0,-1.5707965,-9357097,6,1,17
9544957,0,307872066,1038586442,566005,525726,357608400,0,0,0.0,0.0,0.008,0.008,0.79999995,1.89,0,0,0.04,0.0,0.0,-0.04,-1.5707965,-9544957,6,1,17
9752915,0,307872066,1038586442,566006,525727,357608600,0,0,0.0,0.0,0.008,0.008,0.79999995,1.89,0,0,0.06,0.02,0.0,-0.049999997,-1.5707965,-9752915,6,1,17
9940273,0,307872066,1038586442,566007,525729,357608800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.0,0.0,-0.01,-1.5707965,-9940273,6,1,17
10146949,0,307872065,1038586442,566007,525728,357609000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.049999997,-0.01,0.0,0.04,-1.5707965,-10146949,6,1,17
