timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
6235842,917551,2162703,917551,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
7240773,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
8248770,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
9252834,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
10257771,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
11261189,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
12261757,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
13263073,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
14266747,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
15268147,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
16268938,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
17269807,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
18271750,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
19272788,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
20277727,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
21280720,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
22281795,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
23283884,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
24284777,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
25285719,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
26286718,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
27289772,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
28290805,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
29291748,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
30293886,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
31296142,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
32296811,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
33297810,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
34298811,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
35299850,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
36301752,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
37303832,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
38304896,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
39306810,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
40307855,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
41309835,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
42310758,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
